# raw capture of: cargo test --lib probe_filed_interest_sign -- --ignored --nocapture
# worktree: G:/dev/repos/discount_screener/.claude/worktrees/agent-a19c1b1e4036e2768
# branch content: valuation/wave1-integration @ 4d1e916
# pre-existing cargo build warnings from unrelated modules elided above this line; nothing else edited.

running 1 test
=== PROBE D: the filed sign of net interest, before negation or abs() ===
retrieved 2026-08-04T19:34:19.733199600+00:00
negated by the proposed convention: InterestIncomeExpenseNet InterestIncomeExpenseNonoperatingNet
today = |filed| (dcf_model.rs:907 abs on write, :551 and :1590 abs on read)
after = -filed for a negated concept, filed otherwise, with those three sites gone
dFCFF = (after - today) * (1 - tax), the FCFF bridge at dcf_model.rs:1591
dmgn  = the shift in AlignedDriverYear::fcff_margin_bps, the published quantity
prod  = FcfPoint::interest_expense_dollars, the live post-abs value; '!' marks a
         disagreement with |filed| and would mean this reconstruction is wrong

symbol   year winning qname                                    filed $M  sign  neg     today $M     after $M      prod $M       debt $M    tax  guard     dFCFF $M  dmgn bps
EME      2017 InterestExpense                                      12.8     +   no         12.8         12.8        12.8         310.1   2845      -          0.0         0
EME      2018 InterestExpense                                      13.5     +   no         13.5         13.5        13.5         295.8   2762      -          0.0         0
EME      2019 InterestExpense                                      13.8     +   no         13.8         13.8        13.8         312.2   2789      -          0.0         0
EME      2020 InterestExpense                                       9.0     +   no          9.0          9.0         9.0         276.5   3500      -          0.0         0
EME      2021 InterestExpense                                       6.1     +   no          6.1          6.1         6.1         261.7   2751      -          0.0         0
EME      2022 InterestExpense                                      13.2     +   no         13.2         13.2        13.2         247.2   2732      -          0.0         0
EME      2023 InterestExpense                                      17.2     +   no         17.2         17.2        17.2        absent   2744      -          0.0         0
EME      2024 InterestExpense                                       3.8     +   no          3.8          3.8         3.8        absent   2688      -          0.0         0
EME      2025 InterestExpense                                      12.0     +   no         12.0         12.0        12.0        absent   2607      -          0.0         0
CHTR     2010 InterestExpense                                     877.0     +   no        877.0        877.0       877.0        absent   3500      -          0.0         0
CHTR     2011 InterestExpense                                     963.0     +   no        963.0        963.0       963.0        absent   3500      -          0.0         0
CHTR     2012 InterestExpense                                     907.0     +   no        907.0        907.0       907.0       12808.0   3500      -          0.0         0
CHTR     2013 InterestExpense                                     846.0     +   no        846.0        846.0       846.0       14181.0   3500      -          0.0         0
CHTR     2014 InterestIncomeExpenseNet                           -911.0     -  yes        911.0        911.0       911.0       21023.0   3500      -          0.0         0
CHTR     2015 InterestIncomeExpenseNet                          -1306.0     -  yes       1306.0       1306.0      1306.0       35723.0   1813      -          0.0         0
CHTR     2016 InterestIncomeExpenseNet                          -2499.0     -  yes       2499.0       2499.0      2499.0       61747.0   3500      -          0.0         0
CHTR     2017 InterestIncomeExpenseNet                          -3090.0     -  yes       3090.0       3090.0      3090.0       70231.0   3500      -          0.0         0
CHTR     2018 InterestIncomeExpenseNet                          -3540.0     -  yes       3540.0       3540.0      3540.0       72827.0   1068      -          0.0         0
CHTR     2019 InterestIncomeExpenseNet                          -3797.0     -  yes       3797.0       3797.0      3797.0       79078.0   1806      -          0.0         0
CHTR     2020 InterestIncomeExpenseNet                          -3848.0     -  yes       3848.0       3848.0      3848.0       82752.0   1455      -          0.0         0
CHTR     2021 InterestIncomeExpenseNet                          -4037.0     -  yes       4037.0       4037.0      4037.0       91561.0   1672      -          0.0         0
CHTR     2022 InterestIncomeExpenseNet                          -4556.0     -  yes       4556.0       4556.0      4556.0       97603.0   2162      -          0.0         0
CHTR     2023 InterestIncomeExpenseNet                          -5188.0     -  yes       5188.0       5188.0      5188.0       97777.0   2324      -          0.0         0
CHTR     2024 InterestIncomeExpenseNonoperatingNet              -5229.0     -  yes       5229.0       5229.0      5229.0       93933.0   2198      -          0.0         0
